account_id,month,payment_status,price_per_hour_compute,price_per_gb_storage,price_per_gb_network,billed_compute_usd,billed_storage_usd,billed_network_usd,billed_amount_usd,cost_compute_usd,cost_storage_usd,cost_network_usd,cost_usd,discount_percent,discount_usd,billed_after_discount_usd,cost_after_discount_usd,prev_month_cost,cost_change,pct_change,anomaly_type,account_name,plan_type,industry,region
A0281,2025-04,Paid,0.026,0.022,0.087,1.67,2.44,2.25,20.52,1.16,1.69,1.55,14.2,0,0.0,20.52,14.2,6.35,7.85,123.62,SPIKE,Company_281,Standard,IoT,APAC
A0548,2024-07,Paid,0.025,0.023,0.09,1.73,0.94,2.25,12.21,1.23,0.67,1.61,8.72,10,1.22,10.99,8.72,3.9,4.82,123.59,SPIKE,Company_548,Pro,IoT,US-East
A1317,2024-03,Paid,0.025,0.023,0.09,2.54,2.53,2.83,24.18,1.88,1.87,2.09,17.84,10,2.42,21.76,17.84,7.98,9.86,123.56,SPIKE,Company_1317,Pro,IoT,EMEA
A1379,2024-09,Paid,0.0245,0.0215,0.086,1.02,0.29,0.83,6.85,0.72,0.21,0.59,4.85,5,0.34,6.51,4.85,2.17,2.6799999999999997,123.5,SPIKE,Company_1379,Pro,Telecom,LATAM
A0654,2024-06,Pending,0.026,0.022,0.087,0.78,0.19,0.34,4.05,0.61,0.14,0.27,3.15,0,0.0,4.05,3.15,1.41,1.74,123.4,SPIKE,Company_654,Pro,Fintech,US-West
A0310,2025-07,Overdue,0.0245,0.0215,0.086,5.14,2.89,6.16,31.85,3.78,2.12,4.52,23.39,15,4.78,27.07,23.39,10.47,12.92,123.4,SPIKE,Company_310,Pro,E-commerce,EMEA
A0804,2024-09,Paid,0.024,0.02,0.085,2.53,0.53,2.32,13.39,1.58,0.33,1.44,8.35,15,2.01,11.38,8.35,3.74,4.609999999999999,123.26,SPIKE,Company_804,Standard,SaaS,APAC
A0060,2025-04,Paid,0.025,0.023,0.09,3.57,0.95,3.12,21.24,2.79,0.74,2.44,16.61,10,2.12,19.12,16.61,7.44,9.169999999999998,123.25,SPIKE,Company_60,Pro,Gaming,APAC
A0199,2024-06,Paid,0.024,0.02,0.085,0.33,0.28,0.78,3.47,0.19,0.16,0.46,2.03,0,0.0,3.47,2.03,0.91,1.1199999999999997,123.08,SPIKE,Company_199,Pro,Fintech,US-East
A0168,2024-02,Paid,0.0245,0.0215,0.086,1.64,0.58,0.76,7.84,1.29,0.46,0.6,6.2,10,0.78,7.06,6.2,2.78,3.4200000000000004,123.02,SPIKE,Company_168,Pro,Healthcare,LATAM
A0369,2024-02,Paid,0.024,0.02,0.085,5.61,3.23,4.25,32.23,4.31,2.49,3.27,24.79,5,1.61,30.62,24.79,11.12,13.67,122.93,SPIKE,Company_369,Pro,E-commerce,US-West
A0336,2024-11,Pending,0.025,0.023,0.09,6.16,2.5,2.27,33.42,4.34,1.76,1.6,23.54,0,0.0,33.42,23.54,10.56,12.979999999999999,122.92,SPIKE,Company_336,Pro,SaaS,US-East
A1498,2024-10,Paid,0.025,0.023,0.09,0.56,0.3,0.34,3.16,0.42,0.22,0.26,2.36,5,0.16,3.0,2.36,1.06,1.2999999999999998,122.64,SPIKE,Company_1498,Standard,Healthcare,LATAM
A1260,2025-08,Overdue,0.025,0.023,0.09,1.88,0.67,1.28,9.86,1.3,0.46,0.88,6.79,0,0.0,9.86,6.79,3.05,3.74,122.62,SPIKE,Company_1260,Pro,Telecom,US-West
A1305,2024-10,Paid,0.0245,0.0215,0.086,4.21,1.61,1.16,21.1,2.98,1.14,0.82,14.96,15,3.16,17.94,14.96,6.72,8.240000000000002,122.62,SPIKE,Company_1305,Pro,E-commerce,LATAM
A0905,2025-08,Paid,0.026,0.022,0.087,5.02,4.72,8.45,43.19,3.57,3.36,6.01,30.72,0,0.0,43.19,30.72,13.8,16.919999999999998,122.61,SPIKE,Company_905,Pro,E-commerce,US-West
A0461,2025-08,Paid,0.025,0.023,0.09,4.01,4.37,8.02,43.87,2.2,2.39,4.39,24.01,0,0.0,43.87,24.01,10.79,13.220000000000002,122.52,SPIKE,Company_461,Enterprise,IoT,LATAM
A0303,2024-02,Paid,0.026,0.022,0.087,0.53,0.34,0.57,3.65,0.39,0.24,0.41,2.67,10,0.36,3.29,2.67,1.2,1.47,122.5,SPIKE,Company_303,Standard,Healthcare,EMEA
A0443,2024-03,Paid,0.024,0.02,0.085,0.54,0.49,1.25,5.57,0.41,0.37,0.96,4.27,10,0.56,5.01,4.27,1.92,2.3499999999999996,122.4,SPIKE,Company_443,Pro,Fintech,EMEA
A0017,2025-09,Pending,0.024,0.02,0.085,0.56,0.65,1.08,6.16,0.43,0.49,0.82,4.67,0,0.0,6.16,4.67,2.1,2.57,122.38,SPIKE,Company_17,Enterprise,Telecom,LATAM
A0851,2024-07,Paid,0.025,0.023,0.09,1.27,0.55,2.29,10.56,1.01,0.43,1.81,8.36,5,0.53,10.03,8.36,3.76,4.6,122.34,SPIKE,Company_851,Standard,Gaming,APAC
A0685,2025-05,Paid,0.024,0.02,0.085,2.75,1.86,3.46,18.76,1.52,1.03,1.92,10.4,15,2.81,15.95,10.4,4.68,5.720000000000001,122.22,SPIKE,Company_685,Pro,Healthcare,LATAM
A0760,2025-07,Paid,0.025,0.023,0.09,0.05,0.02,0.05,0.26,0.04,0.01,0.04,0.2,5,0.01,0.25,0.2,0.09,0.11000000000000001,122.22,SPIKE,Company_760,Free,SaaS,US-West
A1462,2025-02,Paid,0.026,0.022,0.087,1.36,1.51,2.72,16.41,0.97,1.08,1.95,11.75,10,1.64,14.77,11.75,5.29,6.46,122.12,SPIKE,Company_1462,Standard,Healthcare,LATAM
A0761,2024-04,Paid,0.025,0.023,0.09,3.61,3.23,5.04,42.3,2.26,2.02,3.15,26.43,0,0.0,42.3,26.43,11.9,14.53,122.1,SPIKE,Company_761,Pro,SaaS,US-East
A1039,2025-01,Pending,0.025,0.023,0.09,4.23,0.99,2.4,21.64,2.42,0.57,1.37,12.36,0,0.0,21.64,12.36,5.57,6.789999999999999,121.9,SPIKE,Company_1039,Enterprise,Fintech,US-East
A0396,2024-11,Paid,0.024,0.02,0.085,7.29,2.72,7.37,43.11,5.72,2.13,5.78,33.83,0,0.0,43.11,33.83,15.25,18.58,121.84,SPIKE,Company_396,Enterprise,Telecom,EMEA
A1101,2024-12,Overdue,0.026,0.022,0.087,2.55,2.4,4.54,23.97,1.97,1.85,3.51,18.52,0,0.0,23.97,18.52,8.35,10.17,121.8,SPIKE,Company_1101,Pro,IoT,US-West
A0439,2025-01,Paid,0.0245,0.0215,0.086,0.65,0.51,0.25,4.47,0.47,0.37,0.18,3.26,15,0.67,3.8,3.26,1.47,1.7899999999999998,121.77,SPIKE,Company_439,Enterprise,Telecom,US-West
A1175,2024-08,Paid,0.024,0.02,0.085,6.8,4.59,11.37,52.8,4.78,3.23,7.99,37.1,20,10.56,42.24,37.1,16.73,20.37,121.76,SPIKE,Company_1175,Pro,E-commerce,US-East
A0150,2024-06,Paid,0.0245,0.0215,0.086,2.11,0.67,2.91,15.5,1.41,0.45,1.95,10.4,0,0.0,15.5,10.4,4.69,5.71,121.75,SPIKE,Company_150,Enterprise,Healthcare,EMEA
A0704,2025-07,Paid,0.026,0.022,0.087,5.47,3.19,3.16,36.09,3.91,2.28,2.26,25.81,20,7.22,28.87,25.81,11.64,14.169999999999998,121.74,SPIKE,Company_704,Standard,E-commerce,US-East
A0961,2025-01,Paid,0.025,0.023,0.09,2.74,0.71,2.52,15.08,2.0,0.52,1.84,11.02,0,0.0,15.08,11.02,4.97,6.05,121.73,SPIKE,Company_961,Standard,E-commerce,LATAM
A0670,2024-07,Paid,0.024,0.02,0.085,5.83,3.54,3.86,36.22,4.49,2.72,2.97,27.87,10,3.62,32.6,27.87,12.57,15.3,121.72,SPIKE,Company_670,Standard,E-commerce,US-East
A0597,2024-11,Paid,0.024,0.02,0.085,0.38,0.33,0.62,3.85,0.26,0.23,0.43,2.66,0,0.0,3.85,2.66,1.2,1.4600000000000002,121.67,SPIKE,Company_597,Standard,Fintech,EMEA
A0536,2024-04,Pending,0.024,0.02,0.085,0.32,0.4,0.83,4.01,0.21,0.27,0.55,2.66,5,0.2,3.81,2.66,1.2,1.4600000000000002,121.67,SPIKE,Company_536,Standard,Fintech,EMEA
A0935,2025-02,Paid,0.0245,0.0215,0.086,1.18,0.74,2.23,11.58,0.79,0.5,1.5,7.78,10,1.16,10.42,7.78,3.51,4.2700000000000005,121.65,SPIKE,Company_935,Standard,E-commerce,US-West
A0680,2024-07,Paid,0.025,0.023,0.09,4.94,4.9,5.3,42.02,2.74,2.72,2.95,23.36,0,0.0,42.02,23.36,10.54,12.82,121.63,SPIKE,Company_680,Pro,E-commerce,LATAM
A0512,2025-01,Paid,0.026,0.022,0.087,3.07,1.64,2.13,25.2,2.38,1.27,1.66,19.57,5,1.26,23.94,19.57,8.83,10.74,121.63,SPIKE,Company_512,Standard,IoT,APAC
A0789,2025-07,Overdue,0.0245,0.0215,0.086,1.69,1.47,2.96,17.06,1.15,1.0,2.01,11.61,5,0.85,16.21,11.61,5.24,6.369999999999999,121.56,SPIKE,Company_789,Pro,Healthcare,US-West
A0271,2025-07,Paid,0.025,0.023,0.09,1.03,0.23,0.99,5.84,0.82,0.18,0.79,4.63,0,0.0,5.84,4.63,2.09,2.54,121.53,SPIKE,Company_271,Pro,SaaS,US-West
A0378,2025-09,Paid,0.0245,0.0215,0.086,4.17,1.58,5.1,23.76,2.66,1.01,3.25,15.15,5,1.19,22.57,15.15,6.84,8.31,121.49,SPIKE,Company_378,Pro,E-commerce,US-East
A1192,2025-06,Paid,0.026,0.022,0.087,4.56,1.61,4.9,25.9,3.44,1.22,3.7,19.55,0,0.0,25.9,19.55,8.83,10.72,121.4,SPIKE,Company_1192,Standard,E-commerce,US-West
A1212,2025-06,Paid,0.025,0.023,0.09,5.78,3.49,2.93,30.85,4.48,2.7,2.27,23.9,0,0.0,30.85,23.9,10.8,13.099999999999998,121.3,SPIKE,Company_1212,Enterprise,E-commerce,APAC
A0010,2024-10,Paid,0.025,0.023,0.09,0.22,0.15,0.38,2.27,0.17,0.12,0.3,1.77,15,0.34,1.93,1.77,0.8,0.97,121.25,SPIKE,Company_10,Free,Healthcare,US-West
A1303,2024-11,Pending,0.025,0.023,0.09,2.37,1.58,3.26,16.93,1.79,1.19,2.46,12.75,10,1.69,15.24,12.75,5.77,6.98,120.97,SPIKE,Company_1303,Pro,E-commerce,APAC
A1103,2025-05,Paid,0.026,0.022,0.087,0.32,0.14,0.28,1.8,0.25,0.11,0.22,1.37,0,0.0,1.8,1.37,0.62,0.7500000000000001,120.97,SPIKE,Company_1103,Free,Telecom,US-East
A0446,2024-06,Pending,0.025,0.023,0.09,4.34,3.37,6.72,35.49,2.96,2.29,4.58,24.19,0,0.0,35.49,24.19,10.95,13.240000000000002,120.91,SPIKE,Company_446,Enterprise,IoT,LATAM
A0906,2024-12,Paid,0.025,0.023,0.09,1.91,1.42,2.21,17.91,1.3,0.96,1.5,12.17,0,0.0,17.91,12.17,5.51,6.66,120.87,SPIKE,Company_906,Standard,Telecom,EMEA
A0929,2025-08,Paid,0.025,0.023,0.09,2.98,0.99,4.45,23.43,2.32,0.77,3.47,18.28,15,3.51,19.92,18.28,8.28,10.000000000000002,120.77,SPIKE,Company_929,Pro,SaaS,US-West
A0562,2025-02,Paid,0.025,0.023,0.09,1.36,0.43,0.68,8.11,1.08,0.34,0.54,6.49,5,0.41,7.7,6.49,2.94,3.5500000000000003,120.75,SPIKE,Company_562,Standard,IoT,US-West
A1387,2024-04,Pending,0.026,0.022,0.087,0.07,0.1,0.18,0.87,0.05,0.07,0.13,0.64,0,0.0,0.87,0.64,0.29,0.35000000000000003,120.69,SPIKE,Company_1387,Free,Fintech,APAC
A0860,2024-11,Paid,0.025,0.023,0.09,0.97,0.57,0.74,6.1,0.53,0.31,0.4,3.31,15,0.92,5.18,3.31,1.5,1.81,120.67,SPIKE,Company_860,Pro,Fintech,EMEA
A0483,2024-02,Paid,0.025,0.023,0.09,4.89,1.99,6.15,33.03,3.41,1.38,4.28,23.01,10,3.3,29.73,23.01,10.43,12.580000000000002,120.61,SPIKE,Company_483,Pro,Fintech,EMEA
A0752,2024-10,Paid,0.025,0.023,0.09,1.55,0.72,2.03,11.9,1.18,0.55,1.55,9.11,0,0.0,11.9,9.11,4.13,4.9799999999999995,120.58,SPIKE,Company_752,Enterprise,SaaS,LATAM
A0785,2024-08,Paid,0.0245,0.0215,0.086,2.2,1.18,3.16,14.93,1.67,0.9,2.4,11.35,5,0.75,14.18,11.35,5.15,6.199999999999999,120.39,SPIKE,Company_785,Standard,Fintech,LATAM
A1001,2024-09,Paid,0.024,0.02,0.085,1.28,1.29,1.12,12.55,0.72,0.72,0.63,7.05,0,0.0,12.55,7.05,3.2,3.8499999999999996,120.31,SPIKE,Company_1001,Enterprise,IoT,APAC
A0916,2024-05,Paid,0.026,0.022,0.087,1.0,1.39,2.66,13.14,0.71,0.99,1.89,9.34,0,0.0,13.14,9.34,4.24,5.1,120.28,SPIKE,Company_916,Pro,E-commerce,US-West
A0490,2025-02,Paid,0.025,0.023,0.09,0.45,0.49,0.5,4.09,0.36,0.39,0.4,3.26,15,0.61,3.48,3.26,1.48,1.7799999999999998,120.27,SPIKE,Company_490,Standard,IoT,EMEA
A0476,2024-12,Paid,0.026,0.022,0.087,0.53,0.35,0.15,2.88,0.4,0.26,0.11,2.18,0,0.0,2.88,2.18,0.99,1.1900000000000002,120.2,SPIKE,Company_476,Standard,Telecom,LATAM
A0099,2025-08,Paid,0.024,0.02,0.085,6.95,2.24,3.94,35.95,5.02,1.62,2.85,25.98,5,1.8,34.15,25.98,11.8,14.18,120.17,SPIKE,Company_99,Enterprise,IoT,LATAM
A1395,2024-03,Paid,0.025,0.023,0.09,2.58,1.61,2.0,29.48,1.87,1.17,1.45,21.3,0,0.0,29.48,21.3,9.68,11.620000000000001,120.04,SPIKE,Company_1395,Enterprise,Healthcare,LATAM
A1377,2024-10,Pending,0.025,0.023,0.09,1.85,2.72,4.09,25.64,1.37,2.0,3.02,18.9,5,1.28,24.36,18.9,8.59,10.309999999999999,120.02,SPIKE,Company_1377,Standard,Telecom,APAC
A1262,2025-06,Paid,0.025,0.023,0.09,1.1,0.53,0.61,7.64,0.6,0.29,0.33,4.18,10,0.76,6.88,4.18,1.9,2.28,120.0,SPIKE,Company_1262,Standard,Healthcare,US-West
A0568,2025-03,Paid,0.025,0.023,0.09,0.28,0.1,0.28,1.57,0.21,0.08,0.21,1.21,0,0.0,1.57,1.21,0.55,0.6599999999999999,120.0,SPIKE,Company_568,Free,Telecom,EMEA
A1062,2025-04,Paid,0.024,0.02,0.085,0.04,0.02,0.04,0.23,0.02,0.01,0.02,0.11,10,0.02,0.21,0.11,0.05,0.06,120.0,SPIKE,Company_1062,Free,Fintech,US-East
A0531,2025-07,Pending,0.0245,0.0215,0.086,5.09,1.86,8.22,35.34,2.85,1.04,4.61,19.82,15,5.3,30.04,19.82,9.01,10.81,119.98,SPIKE,Company_531,Standard,Gaming,LATAM
A1026,2024-02,Paid,0.026,0.022,0.087,0.62,0.42,1.4,6.57,0.49,0.32,1.09,5.1,5,0.33,6.24,5.1,2.32,2.78,119.83,SPIKE,Company_1026,Pro,E-commerce,EMEA
A1347,2024-07,Paid,0.025,0.023,0.09,9.88,6.27,6.34,57.76,7.76,4.92,4.98,45.35,10,5.78,51.98,45.35,20.63,24.720000000000002,119.83,SPIKE,Company_1347,Standard,E-commerce,APAC
A1455,2024-04,Paid,0.024,0.02,0.085,2.47,1.69,3.53,25.34,1.68,1.16,2.41,17.27,5,1.27,24.07,17.27,7.86,9.41,119.72,SPIKE,Company_1455,Pro,Fintech,APAC
A0242,2024-03,Pending,0.026,0.022,0.087,3.83,2.32,2.59,22.07,2.47,1.5,1.67,14.25,0,0.0,22.07,14.25,6.49,7.76,119.57,SPIKE,Company_242,Pro,E-commerce,US-West
A0313,2025-06,Paid,0.025,0.023,0.09,0.16,0.07,0.25,1.16,0.13,0.06,0.19,0.9,5,0.06,1.1,0.9,0.41,0.49000000000000005,119.51,SPIKE,Company_313,Free,E-commerce,US-East
A1345,2025-07,Paid,0.024,0.02,0.085,2.21,2.23,4.57,21.66,1.61,1.62,3.32,15.76,0,0.0,21.66,15.76,7.18,8.58,119.5,SPIKE,Company_1345,Standard,Healthcare,LATAM
A0352,2025-06,Paid,0.024,0.02,0.085,1.92,1.23,1.92,12.63,1.53,0.98,1.53,10.05,0,0.0,12.63,10.05,4.58,5.470000000000001,119.43,SPIKE,Company_352,Pro,Gaming,US-West
A0301,2024-12,Paid,0.025,0.023,0.09,7.17,2.22,3.12,40.47,5.25,1.63,2.29,29.64,5,2.02,38.45,29.64,13.51,16.130000000000003,119.39,SPIKE,Company_301,Standard,Healthcare,LATAM
A1082,2025-01,Paid,0.025,0.023,0.09,2.88,0.93,2.86,18.61,2.03,0.65,2.02,13.13,15,2.79,15.82,13.13,5.99,7.140000000000001,119.2,SPIKE,Company_1082,Standard,SaaS,APAC
A1196,2024-06,Paid,0.026,0.022,0.087,2.61,1.39,1.0,13.42,1.91,1.02,0.73,9.82,0,0.0,13.42,9.82,4.48,5.34,119.2,SPIKE,Company_1196,Standard,Telecom,APAC
A1461,2025-05,Paid,0.025,0.023,0.09,6.62,4.97,8.29,48.55,4.94,3.7,6.18,36.19,20,9.71,38.84,36.19,16.53,19.659999999999997,118.94,SPIKE,Company_1461,Enterprise,Healthcare,US-East
A0061,2024-09,Paid,0.024,0.02,0.085,0.64,0.63,1.28,7.08,0.41,0.4,0.81,4.51,5,0.35,6.73,4.51,2.06,2.4499999999999997,118.93,SPIKE,Company_61,Pro,Telecom,EMEA
A0811,2025-08,Paid,0.024,0.02,0.085,0.36,0.6,0.66,4.94,0.26,0.42,0.47,3.48,0,0.0,4.94,3.48,1.59,1.89,118.87,SPIKE,Company_811,Standard,E-commerce,US-East
A0427,2025-04,Paid,0.024,0.02,0.085,1.22,1.15,2.74,14.77,0.83,0.78,1.86,10.02,5,0.74,14.03,10.02,4.58,5.4399999999999995,118.78,SPIKE,Company_427,Pro,E-commerce,APAC
A0503,2025-09,Paid,0.024,0.02,0.085,1.68,0.89,1.95,11.77,1.33,0.7,1.55,9.32,0,0.0,11.77,9.32,4.26,5.0600000000000005,118.78,SPIKE,Company_503,Pro,Healthcare,US-West
A0420,2024-07,Paid,0.0245,0.0215,0.086,6.01,3.55,5.56,35.61,4.39,2.59,4.06,25.99,10,3.56,32.05,25.99,11.88,14.109999999999998,118.77,SPIKE,Company_420,Standard,SaaS,US-West
A0182,2025-07,Paid,0.024,0.02,0.085,4.73,1.73,1.86,22.78,2.63,0.96,1.03,12.64,5,1.14,21.64,12.64,5.78,6.86,118.69,SPIKE,Company_182,Enterprise,Gaming,LATAM
A1125,2024-10,Paid,0.024,0.02,0.085,0.18,0.11,0.25,1.19,0.14,0.08,0.19,0.94,0,0.0,1.19,0.94,0.43,0.51,118.6,SPIKE,Company_1125,Free,Telecom,APAC
A0038,2024-10,Paid,0.026,0.022,0.087,1.93,0.94,2.37,12.34,1.49,0.72,1.83,9.53,5,0.62,11.72,9.53,4.36,5.169999999999999,118.58,SPIKE,Company_38,Enterprise,Gaming,APAC
A0941,2024-02,Paid,0.025,0.023,0.09,0.2,0.17,0.18,1.48,0.16,0.13,0.14,1.18,0,0.0,1.48,1.18,0.54,0.6399999999999999,118.52,SPIKE,Company_941,Free,Healthcare,LATAM
A0604,2025-03,Paid,0.025,0.023,0.09,4.08,1.61,3.08,27.41,3.06,1.21,2.32,20.6,10,2.74,24.67,20.6,9.43,11.170000000000002,118.45,SPIKE,Company_604,Standard,E-commerce,US-West
A0607,2024-12,Paid,0.026,0.022,0.087,3.48,0.85,1.85,16.53,2.62,0.64,1.39,12.47,5,0.83,15.7,12.47,5.71,6.760000000000001,118.39,SPIKE,Company_607,Pro,Gaming,LATAM
A0223,2025-05,Paid,0.026,0.022,0.087,5.3,1.58,2.98,29.92,4.15,1.24,2.33,23.44,10,2.99,26.93,23.44,10.74,12.700000000000001,118.25,SPIKE,Company_223,Standard,Telecom,US-East
A0622,2024-05,Paid,0.0245,0.0215,0.086,3.19,2.43,1.0,18.78,2.45,1.87,0.77,14.4,5,0.94,17.84,14.4,6.6,7.800000000000001,118.18,SPIKE,Company_622,Standard,Healthcare,LATAM
A1323,2024-10,Paid,0.026,0.022,0.087,2.81,0.94,5.31,23.86,1.66,0.55,3.13,14.07,5,1.19,22.67,14.07,6.45,7.62,118.14,SPIKE,Company_1323,Pro,SaaS,US-West
A0786,2025-06,Paid,0.026,0.022,0.087,0.53,0.34,0.36,3.23,0.42,0.27,0.28,2.53,5,0.16,3.07,2.53,1.16,1.3699999999999999,118.1,SPIKE,Company_786,Pro,Healthcare,US-East
A0092,2025-02,Paid,0.026,0.022,0.087,2.4,1.12,2.45,18.29,1.79,0.83,1.83,13.67,10,1.83,16.46,13.67,6.27,7.4,118.02,SPIKE,Company_92,Enterprise,Fintech,US-West
A1334,2025-09,Overdue,0.025,0.023,0.09,3.64,3.54,5.35,35.86,2.9,2.82,4.26,28.53,15,5.38,30.48,28.53,13.09,15.440000000000001,117.95,SPIKE,Company_1334,Standard,SaaS,US-East
A1016,2024-08,Paid,0.025,0.023,0.09,2.65,0.84,1.94,15.86,2.02,0.64,1.47,12.05,0,0.0,15.86,12.05,5.53,6.5200000000000005,117.9,SPIKE,Company_1016,Standard,Telecom,US-West
A0024,2024-06,Paid,0.025,0.023,0.09,0.06,0.08,0.14,0.78,0.05,0.07,0.11,0.61,20,0.16,0.62,0.61,0.28,0.32999999999999996,117.86,SPIKE,Company_24,Free,Gaming,US-East
A0653,2025-05,Paid,0.026,0.022,0.087,0.55,0.32,0.86,4.12,0.36,0.21,0.56,2.7,20,0.82,3.3,2.7,1.24,1.4600000000000002,117.74,SPIKE,Company_653,Standard,Gaming,EMEA
A0242,2025-02,Pending,0.026,0.022,0.087,3.59,1.65,2.05,17.91,2.71,1.25,1.55,13.52,20,3.58,14.33,13.52,6.21,7.31,117.71,SPIKE,Company_242,Pro,E-commerce,US-West
A1462,2024-12,Pending,0.026,0.022,0.087,2.23,1.22,2.78,16.29,1.42,0.78,1.76,10.34,0,0.0,16.29,10.34,4.75,5.59,117.68,SPIKE,Company_1462,Standard,Healthcare,LATAM
A0227,2024-06,Paid,0.025,0.023,0.09,4.12,2.45,3.51,27.64,3.21,1.91,2.73,21.55,5,1.38,26.26,21.55,9.9,11.65,117.68,SPIKE,Company_227,Standard,E-commerce,LATAM
A1083,2024-12,Paid,0.026,0.022,0.087,2.26,0.71,3.22,15.6,1.65,0.51,2.35,11.36,0,0.0,15.6,11.36,5.22,6.14,117.62,SPIKE,Company_1083,Standard,Gaming,LATAM
A0517,2024-08,Paid,0.024,0.02,0.085,4.45,3.15,2.1,28.16,2.7,1.91,1.27,17.09,0,0.0,28.16,17.09,7.86,9.23,117.43,SPIKE,Company_517,Enterprise,Telecom,APAC
A0438,2024-04,Paid,0.025,0.023,0.09,2.43,0.85,3.79,21.38,1.59,0.56,2.48,13.98,5,1.07,20.31,13.98,6.43,7.550000000000001,117.42,SPIKE,Company_438,Pro,IoT,US-West
A0968,2024-09,Paid,0.024,0.02,0.085,2.21,1.96,3.62,20.07,1.24,1.1,2.04,11.3,0,0.0,20.07,11.3,5.2,6.1000000000000005,117.31,SPIKE,Company_968,Pro,E-commerce,EMEA
A1396,2025-08,Paid,0.0245,0.0215,0.086,2.8,2.43,2.72,22.48,2.07,1.79,2.0,16.6,5,1.12,21.36,16.6,7.64,8.96,117.28,SPIKE,Company_1396,Pro,Gaming,US-East
A0365,2024-03,Overdue,0.025,0.023,0.09,0.1,0.05,0.15,0.97,0.07,0.03,0.1,0.63,5,0.05,0.92,0.63,0.29,0.34,117.24,SPIKE,Company_365,Free,Healthcare,US-West
A1093,2024-03,Paid,0.024,0.02,0.085,4.99,1.51,9.09,41.86,3.91,1.19,7.11,32.77,5,2.09,39.77,32.77,15.09,17.680000000000003,117.16,SPIKE,Company_1093,Pro,Fintech,EMEA
A0440,2024-11,Paid,0.025,0.023,0.09,6.32,1.94,4.06,35.98,4.94,1.52,3.18,28.13,10,3.6,32.38,28.13,12.96,15.169999999999998,117.05,SPIKE,Company_440,Standard,Fintech,LATAM
A0610,2024-05,Paid,0.025,0.023,0.09,3.36,1.35,2.29,18.58,2.59,1.04,1.76,14.31,20,3.72,14.86,14.31,6.6,7.710000000000001,116.82,SPIKE,Company_610,Enterprise,E-commerce,EMEA
A0262,2024-08,Paid,0.025,0.023,0.09,1.81,1.07,2.44,13.42,1.01,0.6,1.37,7.52,5,0.67,12.75,7.52,3.47,4.049999999999999,116.71,SPIKE,Company_262,Standard,Gaming,US-East
A0058,2025-01,Paid,0.024,0.02,0.085,1.94,1.48,3.13,15.1,1.53,1.16,2.46,11.91,20,3.02,12.08,11.91,5.5,6.41,116.55,SPIKE,Company_58,Standard,Gaming,US-East
A1130,2025-08,Paid,0.025,0.023,0.09,2.91,2.52,3.6,35.51,1.88,1.62,2.32,22.9,0,0.0,35.51,22.9,10.58,12.319999999999999,116.45,SPIKE,Company_1130,Enterprise,Gaming,LATAM
A0113,2024-11,Paid,0.0245,0.0215,0.086,0.87,0.44,1.07,5.05,0.5,0.25,0.62,2.92,0,0.0,5.05,2.92,1.35,1.5699999999999998,116.3,SPIKE,Company_113,Pro,Gaming,US-East
A0986,2024-11,Paid,0.026,0.022,0.087,2.7,3.83,8.52,38.87,2.0,2.83,6.29,28.7,0,0.0,38.87,28.7,13.27,15.43,116.28,SPIKE,Company_986,Pro,Fintech,LATAM
A1218,2025-06,Paid,0.026,0.022,0.087,1.59,1.71,3.09,15.45,1.19,1.28,2.31,11.57,0,0.0,15.45,11.57,5.35,6.220000000000001,116.26,SPIKE,Company_1218,Standard,Fintech,EMEA
A0694,2024-05,Paid,0.026,0.022,0.087,0.88,1.27,2.42,11.39,0.65,0.94,1.79,8.39,5,0.57,10.82,8.39,3.88,4.510000000000001,116.24,SPIKE,Company_694,Pro,SaaS,US-East
A1054,2024-04,Paid,0.024,0.02,0.085,0.35,0.23,0.19,2.57,0.22,0.14,0.12,1.6,15,0.39,2.18,1.6,0.74,0.8600000000000001,116.22,SPIKE,Company_1054,Standard,SaaS,US-West
A0918,2024-10,Paid,0.026,0.022,0.087,4.82,2.74,5.43,27.5,3.78,2.15,4.26,21.57,0,0.0,27.5,21.57,9.98,11.59,116.13,SPIKE,Company_918,Enterprise,IoT,US-East
A0740,2025-06,Paid,0.024,0.02,0.085,0.22,0.09,0.11,1.19,0.12,0.05,0.06,0.67,0,0.0,1.19,0.67,0.31,0.36000000000000004,116.13,SPIKE,Company_740,Free,Fintech,EMEA
A0971,2024-02,Paid,0.025,0.023,0.09,0.34,0.17,0.14,2.17,0.25,0.13,0.1,1.62,5,0.11,2.06,1.62,0.75,0.8700000000000001,116.0,SPIKE,Company_971,Free,IoT,EMEA
A0204,2025-07,Paid,0.0245,0.0215,0.086,4.47,2.44,5.52,27.26,3.15,1.72,3.89,19.2,10,2.73,24.53,19.2,8.89,10.309999999999999,115.97,SPIKE,Company_204,Pro,Telecom,LATAM
A1074,2024-03,Pending,0.025,0.023,0.09,2.91,3.19,5.92,34.68,2.28,2.5,4.63,27.15,10,3.47,31.21,27.15,12.58,14.569999999999999,115.82,SPIKE,Company_1074,Pro,IoT,LATAM
A1214,2024-04,Paid,0.025,0.023,0.09,2.76,0.81,2.89,15.74,2.11,0.62,2.21,12.02,0,0.0,15.74,12.02,5.57,6.449999999999999,115.8,SPIKE,Company_1214,Pro,E-commerce,US-West
